Test Case,Algoritma,Profit Ditemukan,% dari Optimal,Waktu Eksekusi (s)
TC 1,Greedy,5135,87.20%,<0.0001
,RS (1k),5765,97.90%,0.0057
,RS (10k),5765,97.90%,0.0634
,RS (100k),5765,97.90%,0.5528
,Branch & Bound,5885,100.00%,0.0001
TC 2,Greedy,15830,99.90%,<0.0001
,RS (1k),15830,99.90%,0.011
,RS (10k),15830,99.90%,0.0745
,RS (100k),15830,99.90%,0.6879
,Branch & Bound,15838,100.00%,<0.0001
TC 3,Greedy,3705,100.00%,<0.0001
,RS (1k),3705,100.00%,0.0032
,RS (10k),3705,100.00%,0.0285
,RS (100k),3705,100.00%,0.2687
,Branch & Bound,3705,100.00%,<0.0001
TC 4,Greedy,18830,95.20%,<0.0001
,RS (1k),19780,99.90%,0.021
,RS (10k),19780,99.90%,0.1695
,RS (100k),19780,99.90%,1.6227
,Branch & Bound,19783,100.00%,0.0001
TC 5,Greedy,15210,95.00%,<0.0001
,RS (1k),16010,100.00%,0.0057
,RS (10k),16010,100.00%,0.0679
,RS (100k),16010,100.00%,0.4486
,Branch & Bound,16010,100.00%,<0.0001
TC 6,Greedy,18410,100.00%,<0.0001
,RS (1k),18410,100.00%,0.0029
,RS (10k),18410,100.00%,0.0416
,RS (100k),18410,100.00%,0.267
,Branch & Bound,18410,100.00%,<0.0001
TC 7,Greedy,41312,94.90%,0.0003
,RS (1k),35450,81.50%,0.0707
,RS (10k),43542,100.00%,0.5864
,RS (100k),43542,100.00%,6.0176
,Branch & Bound,43542,100.00%,6.0689
TC 8,Greedy,53443,98.30%,0.0002
,RS (1k),53593,98.60%,0.093
,RS (10k),54313,99.90%,0.364
,RS (100k),54313,99.90%,3.4861
,Branch & Bound,54368,100.00%,1.5944
TC 9,Greedy,37724,89.60%,0.0002
,RS (1k),40486,96.20%,0.05
,RS (10k),42086,100.00%,0.4184
,RS (100k),42086,100.00%,3.9846
,Branch & Bound,42086,100.00%,0.9172
TC 10,Greedy,40832,???,0.0006
,RS (1k),40685,???,0.1766
,RS (10k),45907,???,2.2753
,RS (100k),45907,???,15.841
,Branch & Bound,Gagal,-,> 600s (timeout)
TC 11,Greedy,60400,???,0.0014
,RS (1k),56234,???,0.4483
,RS (10k),62231,???,3.5212
,RS (100k),62231,???,35.6163
,Branch & Bound,Gagal,-,> 600s (timeout)
